WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_PLAC1,TIPO_PLAC2,TIPO_PLAC3,TIPO_ACIDE,Mapinfo_1,Mapinfo_2
"POINT (-46.6471277249722 -23.5490468039739)",D011500081,33667,,200,PX VD JACEGUAI,2015/01/20 00:00:00,0820,4,D,,05,441,,,00000000000000010,0100,OE1,67,0112,33667,,SI,,,AT,200 33667,
"POINT (-46.63976634118 -23.5629220559254)",D011500082,35600,,01,,2015/01/15 00:00:00,1205,2,D,,05,530,,,00000001000000000,0100,SU2,49,0112,16010,,OU,,,QD,1 35600,
"POINT (-46.6123306950895 -23.5790539743672)",D011500083,17083,,100,,2015/01/06 00:00:00,1300,2,D,,06,48,,,01010000000000000,0100,SU1,33,0113,17083,,MO,CA,,CO,100 17083,
"POINT (-46.6129281429376 -23.5647948155315)",D011500084,00651,,153,,2015/01/03 00:00:00,2323,4,D,,06,76,,,10000000000000000,0100,SU1,14,0113,00651,,AU,,,AT,153 00651,
"POINT (-46.6143662256647 -23.5817692986588)",D011500085,05886,17083,,,2015/01/07 00:00:00,1925,2,D,,06,77,,,01000000000100000,0100,SU1,92,0113,05886,17083,MO,CM,,CT,17083&&05886,
"POINT (-46.6297242241817 -23.5642643656435)",D011500086,02660,16369,,,2015/01/07 00:00:00,1830,4,D,,06,78,,,10000000000000000,0100,SU1,49,0113,02660,16369,AU,,,AT,16369&&02660,
"POINT (-46.6216265085365 -23.5672532105736)",D011500087,11922,,500,,2015/01/08 00:00:00,1640,4,D,,06,92369,,,10000000000000000,0100,SU1,14,0113,11922,,AU,,,AT,500 11922,
"POINT (-46.6332456582969 -23.5722279690687)",D011500088,00120,,632,,2015/01/09 00:00:00,1340,2,D,,06,113,,,10000001000000000,0100,SU1,49,0113,00120,,AU,OU,,CO,632 00120,
"POINT (-46.6300761150427 -23.5880265023122)",D011500089,11922,03658,,,2015/01/14 00:00:00,0900,2,D,,06,173,,,01000000000100000,0100,SU1,92,0113,03658,11922,MO,CM,,CO,03658&&11922,
"POINT (-46.6392345976965 -23.5787117589602)",D011500091,14576,,136,,2015/01/19 00:00:00,0820,2,D,,06,214,,,02000000000000000,0200,SU1,92,0114,14576,,MO,MO,,SI,136 14576,
"POINT (-46.626348660581 -23.5695836269834)",D011500092,00797,00521,,,2015/01/09 00:00:00,2159,2,D,,06,225,,,01000001000000000,0200,SU1,49,0114,00521,00797,MO,OU,,CO,00521&&00797,
