WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.456309 -23.614035)",D051202321,78271,,19,,2012/05/02,0010,2,D,,49,7222,,,11000000000000000,0100,VA,32,0809,78271,,CRS2098,AU,DYV9545,MO,,,CO,,,,
"POINT (-46.426858 -23.608217)",D051202322,18826,,440,,2012/05/27,1640,2,D,,49,7283,C,,10000000000000000,0200,VA,55,0809,18826,,CYY2874,AU,,,,,CH,,,,
"POINT (-46.488643 -23.593066)",D051202323,13671,06565,,,2012/05/28,1200,2,D,,49,7320,,,11000000000000000,0200,VA,75,0809,06565,13671,EAI5027,AU,DRX2078,MO,,,CO,,,,
"POINT (-46.455216 -23.59864)",D051202324,76410,73217,,,2012/05/29,0741,2,D,,49,7357,B,,01000000100000000,0100,VA,32,0809,73217,76410,DPC6471,MC,FAY8730,MO,,,CO,,,,
"POINT (-46.455261 -23.615631)",D051202325,74025,64152,,,2012/05/26,0300,4,D,,49,7678,,,01000000000000000,0100,VA,77,0809,64152,74025,,MO,,,,,AT,,,,
"POINT (-46.448715 -23.607845)",D051202326,46186,,597,,2012/05/29,0600,4,D,,49,7854,,,10000000000000000,0100,VA,32,0809,46186,,CII6532,AU,,,,,AT,,,,
"POINT (-46.456253 -23.530547)",D051202327,46936,,2700,,2012/05/07,2200,4,D,,53,2991,,,00010000000000000,0100,PE,46,0810,46936,,,CA,,,,,AT,,,,
"POINT (-46.467812 -23.565776)",D051202328,60675,,,NC,2012/05/10,2130,4,D,,53,3042,C,,10000000000000000,0100,VA,51,0810,60675,,HHB4615,AU,,,,,AT,,,,
"POINT (-46.45363 -23.562143)",D051202329,35930,,203,,2012/05/12,1430,4,D,,53,3086,,,01000000000000000,0100,VA,51,0810,35930,,,MO,,,,,AT,,,,
"POINT (-46.442462 -23.581217)",D051202330,36408,,,NC,2012/05/01,1614,2,D,,53,1161,,,11000000000000000,0200,VA,50,0811,36408,,DRX7149,MO,CNV1898,AU,,,CO,,,,
"POINT (-46.450144 -23.571373)",D051202331,36285,,1084,,2012/05/02,0936,4,D,,53,2856,,,00010000000000000,0100,VA,51,0811,36285,,CZB3601,CA,,,,,AT,,,,
"POINT (-46.467705 -23.565532)",D051202332,60675,,299,,2012/05/02,1526,2,D,,53,2863,,,01000000000000000,0100,VA,51,0811,60675,,,MO,,,,,QM,,,,
"POINT (-46.452336 -23.572309)",D051202333,36285,,851,,2012/05/03,1543,2,D,,53,2887,,,11000000000000000,0100,VA,51,0811,36285,,ARC0375,AU,ESN0185,MO,,,CO,,,,
"POINT (-46.442686 -23.58484)",D051202334,16173,,2000,,2012/05/03,1835,2,D,,53,2895,,,11000000000000000,0100,VA,58,0811,16173,,EWF8181,AU,DZO7313,MO,,,CO,,,,
"POINT EMPTY",D051202335,48734,,,PXEST DO PESSEG,2012/05/04,2020,2,D,,53,2908,,,20000000000000000,0200,SI,25,0811,48734,,BLL6810,AU,EBL5652,AU,,,CO,,,,
"POINT (-46.467812 -23.565776)",D051202336,60675,,,PXARCADIA PAULI,2012/05/04,1942,2,D,,53,2909,,,21000001000100000,0100,VA,51,0811,60675,,EOQ2280,MO,DRC9729,AU,ELG5251,AU,CO,,,,
"POINT (-46.469514 -23.563897)",D051202337,07503,,617,,2012/05/06,0800,2,D,,53,2944,,,10000000000000000,0100,VA,58,0811,07503,,DCV4601,AU,,,,,CH,,,,
"POINT (-46.46093 -23.569342)",D051202338,36318,,793,,2012/05/07,0439,2,D,,53,2976,,,10000000000000000,0100,VA,05,0812,36318,,EAJ1133,AU,,,,,CH,,,,
"POINT (-46.457004 -23.528539)",D051202339,46936,,3400,,2012/05/07,1840,2,D,,53,2988,,,10010000000000000,0200,PE,46,0812,46936,,GDR2122,CA,ELQ8302,AU,,,CO,,,,
"POINT (-46.463557 -23.563681)",D051202340,36428,29388,,,2012/05/08,0931,2,D,,53,2997,,,11000000000000000,0100,PE,58,0812,29388,36428,CWM5097,MO,CJS6028,AU,,,CO,,,,
"POINT (-46.467777 -23.565789)",D051202341,36318,,153,,2012/05/08,1700,2,D,,53,3006,,,10000000000100000,0200,VA,05,0812,36318,,CMO3935,AU,EYM8355,CM,,,CF,,,,
"POINT (-46.451202 -23.557286)",D051202342,07320,,25,,2012/05/08,2030,2,D,,53,3009,,,11000000000000000,0200,VA,58,0812,07320,,FAY3029,MO,HJG8601,AU,,,CO,,,,
"POINT (-46.451145 -23.566414)",D051202343,35713,,811,,2012/05/11,0630,2,D,,53,3048,,,10000000000000000,0100,VA,50,0812,35713,,EJS6030,AU,,,,,CH,,,,
"POINT (-46.482021 -23.579548)",D051202344,60675,,2400,,2012/05/11,2340,2,D,,53,3070,,,01000000000000000,0100,VA,51,0812,60675,,DHA8373,MO,,,,,QM,,,,
"POINT (-46.45716 -23.524422)",D051202345,46936,,3800,,2012/05/13,0650,2,D,,53,3110,,,10000000000000000,0100,PE,46,0812,46936,,ETV5569,AU,,,,,CH,,,,
"POINT (-46.450884 -23.538827)",D051202346,46936,,2101,,2012/05/13,1130,2,D,,53,3112,,,01000000000100000,0100,PE,46,0812,46936,,EHR0185,MO,,CM,,,CO,,,,
"POINT (-46.4424 -23.571703)",D051202347,36387,,352,,2012/05/14,0600,2,D,,53,3135,,,10010000000000000,0100,VA,50,0813,36387,,DFM5609,CA,EJA5385,AU,,,CL,,,,
"POINT (-46.475018 -23.558458)",D051202348,13294,,2700,,2012/05/10,2100,2,D,,53,3168,,,00000001000000000,0100,VA,58,0813,13294,,EPU5425,OU,,,,,QM,,,,
"POINT (-46.545862 -23.538584)",D051202349,02181,,,PXEST DA FAZEND,2012/05/17,0620,2,D,,53,3205,,,00010001000000000,0600,VA,60,0813,02181,,CSK0522,CA,EFW4398,OU,,,CT,,,,
"POINT (-46.545862 -23.538584)",D051202350,02181,,,PXEST DA FAZEND,2012/05/17,0930,2,D,,53,3206,,,10000000000000000,0100,VA,60,0813,02181,,EBA5173,AU,,,,,CH,,,,
"POINT (-46.435269 -23.59329)",D051202351,99246,,8100,,2012/05/18,1915,2,D,,53,3237,,,11000000000000000,0100,VA,46,0813,99246,,EJR6459,MO,EAW4727,AU,,,CO,,,,
"POINT (-46.455214 -23.554162)",D051202352,18110,18803,,,2012/05/19,1017,4,D,,53,3247,,,10000000000000000,0100,VA,36,0813,18110,18803,EBO5220,AU,,,,,AT,,,,
"POINT EMPTY",D051202353,99032,,,PXEST DO PESSEG,2012/05/19,0920,2,D,,53,3248,,,10000000000100000,0100,VA,31,0813,99032,,LKC6835,AU,BZU6144,CM,,,CO,,,,
"POINT (-46.47575 -23.568731)",D051202354,13294,,1475,,2012/05/17,1010,2,D,,53,3252,,,11000000000000000,0100,VA,58,0813,13294,,DGT8015,MO,DWE6545,AU,,,CO,,,,
"POINT (-46.467756 -23.565889)",D051202355,60675,36318,,,2012/05/24,1830,2,D,,53,3371,,,11000000000000000,0100,VA,58,0813,36318,60675,DAD2448,AU,EGY6764,MO,,,CO,,,,
"POINT (-46.447489 -23.569746)",D051202356,16173,,99,,2012/05/24,1549,2,D,,53,3406,,,01000000000000000,0100,VA,58,0814,16173,,DCS6922,MO,,,,,QM,,,,
"POINT (-46.467065 -23.554721)",D051202357,11830,,2900,,2012/05/26,2330,2,D,,53,3444,,,20000000000000000,0100,VA,24,0814,11830,,DMS2141,AU,FSB3888,AU,,,CT,,,,
"POINT (-46.465751 -23.562424)",D051202358,06927,,10,,2012/05/30,1510,2,D,,53,3504,,,10001000000000000,0100,VA,24,0814,06927,,,BI,DVC2257,AU,,,CF,,,,
"POINT EMPTY",D051202360,99169,,100,,2012/05/06,0110,4,D,,54,6179,,,00000000000000010,0100,VA,25,0815,99169,,,SI,,,,,AT,,,,
