WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6756515409605 -23.6164543176029)",D121400294,10076,,400,,2014/12/02,1401,2,,,11000000000000000,0100,SO2,15,0210,10076,,CO
"POINT (-46.6699781878735 -23.6350584538967)",D121400295,10586,,2400,,2014/12/02,0800,4,,,00000000000100000,0100,SO2,15,0210,10586,,AT
"POINT (-46.6590728316898 -23.6069141981629)",D121400296,14531,,865,,2014/12/03,1800,4,,,01000000000000000,0200,SO1,53,0210,14531,,AT
"POINT (-46.6694067856887 -23.6112455938947)",D121400297,08944,04269,,,2014/12/03,2025,2,C,,00001001000000000,0100,SO1,53,0210,08944,09784,CO
"POINT (-46.6658602376768 -23.6262238769731)",D121400298,19692,,1837,,2014/12/04,1230,4,,,10000000000000000,0200,SO2,15,0210,19692,,AT
"POINT (-46.6614746612281 -23.6213147176272)",D121400299,19931,,7000,,2014/12/05,0804,2,,,11000000000000000,0100,SU2,15,0210,19931,,SI
"POINT (-46.6603723535739 -23.6169801262909)",D121400300,09062,10542,,,2014/12/05,1420,2,,,11000000000000000,0100,SU2,79,0210,09062,10542,SI
"POINT (-46.6745427902037 -23.6164952732298)",D121400301,10918,,3651,,2014/12/06,1200,2,,,11000000000000000,0100,SO2,15,0210,10918,,CT
"POINT (-46.6736033945646 -23.6410346768661)",D121400302,19931,,4483,,2014/12/10,0845,2,,,01000000000000000,0100,SU2,15,0211,19931,,QM
"POINT (-46.6530220466191 -23.6174899737499)",D121400303,02108,,1726,,2014/12/11,0900,2,,,01000000000000010,0100,SU2,79,0211,02108,,SI
"POINT (-46.6727778565879 -23.6419275407139)",D121400304,19931,11510,,,2014/12/11,1440,2,,,11000000000000000,0100,SU2,15,0211,11510,19931,CF
"POINT (-46.684752660192 -23.6274258252736)",D121400305,35644,,1,,2014/12/11,1700,2,,,00000000000000010,0200,SO2,15,0211,10918,,SI
