WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.585438 -23.592748)",,D011101177,07497,,1000,,2011/01/10,0114,2,D,,56,215,,,20000000000000000,0100,VP,95,0515,07497,,CVC8297,AU,EBW6903,AU,,,CO,,,,
"POINT (-46.586411 -23.584308)",,D011101178,24338,,676,,2011/01/10,1350,2,D,,56,227,,,11000000000000000,0200,VP,26,0515,24338,,DLO9991,MO,BNW7358,AU,,,CT,,,,
"POINT (-46.583935 -23.588656)",,D011101179,20059,,,PXIGREJA DO LAR,2011/01/10,1900,2,D,,56,231,,,30000000000000000,0100,VP,26,0515,20059,,EQX7918,AU,DWS6656,AU,EEG8396,AU,CO,,,,
"POINT (-46.577173 -23.589838)",,D011101180,20059,,700,,2011/01/11,1045,4,D,,56,246,,,01000000000000000,0100,VP,26,0515,20059,,DZR7259,MO,,,,,AT,,,,
"POINT (-46.593353 -23.587491)",,D011101181,24338,,,PXVD.GDE.SAO PA,2011/01/11,1137,2,D,,56,254,C,,01020000000000000,0100,VP,26,0516,24338,,DLO7201,MO,GMZ5937,CA,FEB1985,CA,CO,,,,
"POINT (-46.571113 -23.596075)",,D011101182,07964,,929,,2011/01/13,0730,2,D,,56,292,,,21000000000000000,0100,VP,95,0516,07964,,EJQ5945,MO,EQK8202,AU,ELV1826,AU,CL,,,,
"POINT (-46.568502 -23.582801)",,D011101183,24338,65634,,,2011/01/15,2125,2,D,,56,372,,,01000000000000000,0100,VP,,0516,24338,65634,EQR3858,MO,,,,,QM,,,,
"POINT (-46.578333 -23.584406)",,D011101184,24338,01111,,,2011/01/16,0850,2,D,,56,391,,,11000000000000000,0100,VP,95,0516,01111,24338,ECA5406,MO,DZF5561,AU,,,CO,,,,
"POINT (-46.591733 -23.587515)",,D011101185,07497,,69,,2011/01/10,0710,4,D,,56,433,,,10000000000000000,0100,VP,95,0516,07497,,ELS6754,AU,,,,,AT,,,,
"POINT (-46.579966 -23.579181)",,D011101186,15047,,582,,2011/01/19,1319,4,D,,56,486,,,00000000000100000,0100,VP,33,0516,15047,,EQU7600,CM,,,,,AT,,,,
"POINT (-46.584355 -23.584415)",,D011101187,08955,24338,,,2011/01/20,0434,2,D,,56,508,,,10000001000000000,0100,VP,95,0516,08955,24338,CTI5124,AU,CZX7440,OU,,,CO,,,,
"POINT (-46.567702 -23.583067)",,D011101188,24338,,2700,,2011/01/20,1842,2,D,,56,523,,,11000000000000000,0100,VP,26,0516,24338,,EIE8816,MO,CLV7999,AU,,,CO,,,,
